IdSensore,Tipologia,Unità.DiMisura,IdStazione,NomeStazione,Quota,Provincia,DataStart,DataStop,Storico,lng,lat,NomeProvincia
4043,Umidità Relativa,%,145,Darfo Boario Terme,222,BS,06/06/2002,18/07/2023,S,10.1773568,45.8746021,Brescia
11984,Umidità Relativa,%,851,Treviso Bresciano Cavacca,1147,BS,10/01/2012,,N,10.49916675,45.72416486,Brescia
9012,Temperatura,°C,1238,Val Masino S.Martino,943,SO,01/01/2004,,N,9.63217806,46.24144667,Sondrio
9014,Temperatura,°C,1237,Monno,1728,BS,11/10/2004,,N,10.308807,46.25030272,Brescia
9044,Altezza Neve,cm,1222,Cavargna,1100,CO,09/04/2004,,N,9.11084686,46.09155206,Como
22571,Altezza Neve,cm,1955,Magasa Malga Corva,1244,BS,30/11/2023,,N,10.6275831109109,45.7740906088109,Brescia
14519,Umidità Relativa,%,1372,Garzeno,581,CO,25/07/2013,,N,9.2478209,46.1321526,Como
8198,Temperatura,°C,911,Lambrugo,273,CO,06/03/2003,,N,9.24444953,45.76194769,Como
2245,Temperatura,°C,117,Edolo Ist.Meneghini,699,BS,01/01/1998,,N,10.33339293,46.17572375,Brescia
19347,Precipitazione,mm,1560,Padenghe sul Garda v.Fondrini,187,BS,14/07/2016,,N,10.50612,45.518286,Brescia
8007,Temperatura,°C,856,Fortunago,501,PV,01/01/1998,,N,9.19499417,44.91250111,Pavia
17536,Umidità Relativa,%,60,Villa di Chiavenna,665,SO,26/06/2019,,N,9.51204364,46.33199472,Sondrio
2364,Radiazione Globale,W/m²,125,Castello d'Agogna,106,PV,21/07/1998,,N,8.70057165,45.24680044,Pavia
8173,Precipitazione,mm,905,Cevo,1128,BS,18/06/2003,,N,10.37778231,46.08055608,Brescia
10777,Radiazione Globale,W/m²,16,Valfurva Ghiacciaio dei Forni,2180,SO,09/08/2022,,N,10.55541386,46.42078875,Sondrio
19309,Precipitazione,mm,1518,Dubino La Piazza,993,SO,21/11/2014,,N,9.45812983,46.16725553,Sondrio
8172,Precipitazione,mm,877,Bovegno ponte Zigole,572,BS,06/06/2001,,N,10.26318272,45.78138436,Brescia
14207,Radiazione Globale,W/m²,1343,Lanzada Passo Marinelli,3032,SO,13/10/2012,,N,9.91515411,46.34981046,Sondrio
6432,Radiazione Globale,W/m²,596,Osio Sotto v.per Levate,182,BG,04/04/2000,,N,9.61173782,45.62055568,Bergamo
14476,Precipitazione,mm,1367,Bagolino SP669,775,BS,12/12/2012,,N,10.452199,45.83860244,Brescia
14218,Umidità Relativa,%,1343,Lanzada Passo Marinelli,3032,SO,13/10/2012,,N,9.91515411,46.34981046,Sondrio
